layer,head,class,base_score,pruned_score,degradation,model
0,1,year_encoding,-0.9999314546585083,-0.6144325733184814,0.38552531599998474,random_neurons_sparsity50
1,5,year_encoding,-1.199618935585022,-0.6334021091461182,0.4719972312450409,random_neurons_sparsity50
9,1,year_difference,-0.009196929633617401,-0.6200045347213745,-66.41429138183594,random_neurons_sparsity50
10,7,comparison,-1.3246396780014038,-0.6384410262107849,0.5180266499519348,random_neurons_sparsity50
11,0,output_computation,-1.1587715148925781,-0.6372422575950623,0.4500708281993866,random_neurons_sparsity50
11,10,output_computation,-1.173184871673584,-0.6338967084884644,0.4596787691116333,random_neurons_sparsity50
0,1,year_encoding,-0.9999314546585083,-0.44056054949760437,0.5594092011451721,magnitude_neurons_sparsity50
1,5,year_encoding,-1.199618935585022,-0.4581998288631439,0.6180455088615417,magnitude_neurons_sparsity50
9,1,year_difference,-0.009196929633617401,-0.41934734582901,-44.59645080566406,magnitude_neurons_sparsity50
10,7,comparison,-1.3246396780014038,-0.4325729310512543,0.6734410524368286,magnitude_neurons_sparsity50
11,0,output_computation,-1.1587715148925781,-0.43403369188308716,0.6254363656044006,magnitude_neurons_sparsity50
11,10,output_computation,-1.173184871673584,-0.4313232898712158,0.6323484182357788,magnitude_neurons_sparsity50
0,1,year_encoding,-0.9999314546585083,-0.5572678446769714,0.44269394874572754,magnitude_attention_heads_sparsity50
1,5,year_encoding,-1.199618935585022,-0.7102260589599609,0.40795695781707764,magnitude_attention_heads_sparsity50
9,1,year_difference,-0.009196929633617401,-0.6866059303283691,-73.65599060058594,magnitude_attention_heads_sparsity50
10,7,comparison,-1.3246396780014038,-0.6866059303283691,0.48166587948799133,magnitude_attention_heads_sparsity50
11,0,output_computation,-1.1587715148925781,-0.6866059303283691,0.40747082233428955,magnitude_attention_heads_sparsity50
11,10,output_computation,-1.173184871673584,-0.6866059303283691,0.41475042700767517,magnitude_attention_heads_sparsity50
0,1,year_encoding,-0.9999314546585083,-0.2701082229614258,0.7298732399940491,random_attention_heads_sparsity50
1,5,year_encoding,-1.199618935585022,-0.27554309368133545,0.7703078389167786,random_attention_heads_sparsity50
9,1,year_difference,-0.009196929633617401,-0.1531103551387787,-15.647985458374023,random_attention_heads_sparsity50
10,7,comparison,-1.3246396780014038,-0.2740921676158905,0.7930817008018494,random_attention_heads_sparsity50
11,0,output_computation,-1.1587715148925781,-0.265409916639328,0.7709557414054871,random_attention_heads_sparsity50
11,10,output_computation,-1.173184871673584,-0.2686609625816345,0.7709985971450806,random_attention_heads_sparsity50
