layer,head,class,base_score,quantized_score,degradation,model
0,1,year_encoding,-0.7962745428085327,-0.15119771659374237,0.8101186156272888,gpt2_int8_quantized
1,5,year_encoding,-1.0298484563827515,-0.38791173696517944,0.6233312487602234,gpt2_int8_quantized
9,1,year_difference,0.23723040521144867,0.548883318901062,-1.3137140274047852,gpt2_int8_quantized
10,7,comparison,-1.1332186460494995,-0.5356365442276001,0.5273317098617554,gpt2_int8_quantized
11,0,output_computation,-0.9816361665725708,-0.36005112528800964,0.633213222026825,gpt2_int8_quantized
11,10,output_computation,-0.9917626976966858,-0.3631185293197632,0.6338655352592468,gpt2_int8_quantized
0,1,year_encoding,-0.7962745428085327,-0.7942779064178467,0.002507472410798073,gpt2_fp16_gpu
1,5,year_encoding,-1.0298484563827515,-1.0279858112335205,0.0018086594063788652,gpt2_fp16_gpu
9,1,year_difference,0.23723040521144867,0.23848018050193787,-0.005268191918730736,gpt2_fp16_gpu
10,7,comparison,-1.1332186460494995,-1.131211519241333,0.0017711734399199486,gpt2_fp16_gpu
11,0,output_computation,-0.9816361665725708,-0.9797549843788147,0.0019163741962984204,gpt2_fp16_gpu
11,10,output_computation,-0.9917626976966858,-0.989874005317688,0.0019043793436139822,gpt2_fp16_gpu
0,1,year_encoding,-0.7962745428085327,-0.7962740659713745,5.988351290397986e-07,gpt2_fp32_baseline
1,5,year_encoding,-1.0298484563827515,-1.0298492908477783,-8.102794595288287e-07,gpt2_fp32_baseline
9,1,year_difference,0.23723040521144867,0.23722989857196808,2.135643171641277e-06,gpt2_fp32_baseline
10,7,comparison,-1.1332186460494995,-1.1332191228866577,-4.207812480672146e-07,gpt2_fp32_baseline
11,0,output_computation,-0.9816361665725708,-0.9816365838050842,-4.250378253800591e-07,gpt2_fp32_baseline
11,10,output_computation,-0.9917626976966858,-0.9917630553245544,-3.6059822150491527e-07,gpt2_fp32_baseline
