source_layer,source_head,target_layer,target_head,path_type,path_name,base_score,quantized_score,degradation,base_std,quantized_std,n_samples,model
0,1,9,1,YE→YD,L0H1→L9H1,-0.8905916213989258,-0.2920946180820465,0.6720218658447266,0.9504864811897278,0.7484399676322937,1000,gpt2_int8_quantized
1,5,9,1,YE→YD,L1H5→L9H1,-1.023578405380249,-0.39264482259750366,0.616399884223938,0.9969518780708313,0.7843925356864929,1000,gpt2_int8_quantized
9,1,10,7,YD→CMP,L9H1→L10H7,-0.32076194882392883,0.16243235766887665,1.5063953399658203,0.8319088816642761,0.6591693758964539,1000,gpt2_int8_quantized
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.0642162561416626,-0.45956817269325256,0.5681627988815308,0.9761231541633606,0.7704072594642639,1000,gpt2_int8_quantized
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.0642162561416626,-0.45956817269325256,0.5681627988815308,0.9761231541633606,0.7704072594642639,1000,gpt2_int8_quantized
9,1,11,0,YD→OUT,L9H1→L11H0,-0.5662136673927307,-0.038196105509996414,0.9325411915779114,0.9155482053756714,0.6999985575675964,1000,gpt2_int8_quantized
9,1,11,10,YD→OUT,L9H1→L11H10,-0.5662136673927307,-0.038196105509996414,0.9325411915779114,0.9155482053756714,0.6999985575675964,1000,gpt2_int8_quantized
0,1,9,1,YE→YD,L0H1→L9H1,-0.8905916213989258,-0.8887736797332764,0.0020412742160260677,0.9504864811897278,0.9517370462417603,1000,gpt2_fp16_gpu
1,5,9,1,YE→YD,L1H5→L9H1,-1.023578405380249,-1.021681785583496,0.0018529306398704648,0.9969518780708313,0.9982492327690125,1000,gpt2_fp16_gpu
9,1,10,7,YD→CMP,L9H1→L10H7,-0.32076194882392883,-0.3191392421722412,0.005058912560343742,0.8319088816642761,0.8328233957290649,1000,gpt2_fp16_gpu
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.0642162561416626,-1.0622836351394653,0.0018160040490329266,0.9761231541633606,0.9774388074874878,1000,gpt2_fp16_gpu
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.0642162561416626,-1.0622836351394653,0.0018160040490329266,0.9761231541633606,0.9774388074874878,1000,gpt2_fp16_gpu
9,1,11,0,YD→OUT,L9H1→L11H0,-0.5662136673927307,-0.564454972743988,0.0031060618348419666,0.9155482053756714,0.9163687825202942,1000,gpt2_fp16_gpu
9,1,11,10,YD→OUT,L9H1→L11H10,-0.5662136673927307,-0.564454972743988,0.0031060618348419666,0.9155482053756714,0.9163687825202942,1000,gpt2_fp16_gpu
0,1,9,1,YE→YD,L0H1→L9H1,-0.8905916213989258,-0.8905913233757019,3.3463510362707893e-07,0.9504864811897278,0.9504857063293457,1000,gpt2_fp32_baseline
1,5,9,1,YE→YD,L1H5→L9H1,-1.023578405380249,-1.0235780477523804,3.493898077522317e-07,0.9969518780708313,0.9969526529312134,1000,gpt2_fp32_baseline
9,1,10,7,YD→CMP,L9H1→L10H7,-0.32076194882392883,-0.3207615911960602,1.1149323881909368e-06,0.8319088816642761,0.8319082260131836,1000,gpt2_fp32_baseline
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.0642162561416626,-1.0642170906066895,-7.841122737772821e-07,0.9761231541633606,0.9761232733726501,1000,gpt2_fp32_baseline
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.0642162561416626,-1.0642170906066895,-7.841122737772821e-07,0.9761231541633606,0.9761232733726501,1000,gpt2_fp32_baseline
9,1,11,0,YD→OUT,L9H1→L11H0,-0.5662136673927307,-0.5662133097648621,6.316129201877629e-07,0.9155482053756714,0.9155488014221191,1000,gpt2_fp32_baseline
9,1,11,10,YD→OUT,L9H1→L11H10,-0.5662136673927307,-0.5662133097648621,6.316129201877629e-07,0.9155482053756714,0.9155488014221191,1000,gpt2_fp32_baseline
