name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
previous_token_heads,3000,0.12393180280923843,1.5586285591125488,0.07256693281233317,0.18349278680980205,-0.20824536681175232,2.5929975509643555,-0.2931460961699486,-0.11362673938274385,2.6803221702575684,0.12110915780067444,3.9050137486767025e-11,True,2.8034778750633107e-10,True,magnitude_neurons_sparsity30,2.3430082492060216e-09,True,8.079338790365591e-11,True
duplicate_token_heads,2000,0.24942956864833832,1.6057902574539185,0.17567712888121606,0.3149590827524662,-0.13785456120967865,2.5978140830993652,-0.2521802946925163,-0.032229701615870056,1.5526793003082275,0.13968326151371002,5.154022040388211e-10,True,2.7206585249909795e-09,True,magnitude_neurons_sparsity30,3.0924132242329266e-08,True,9.975526529783632e-10,True
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2531622782349587,0.33956236243247984,-0.11028730124235153,2.591017484664917,-0.1819537878036499,-0.037014751881361024,1.371469497680664,0.1488458663225174,1.2400266180781217e-25,True,5.18591091935541e-24,True,magnitude_neurons_sparsity30,7.44015970846873e-24,True,3.9158735307730164e-25,True
s_inhibition_heads,4000,0.7903801202774048,1.5315221548080444,0.7414389461278915,0.8390510469675064,-0.06095867231488228,2.595421314239502,-0.13948573879897594,0.015141798462718724,1.0771257877349854,0.31361037492752075,1.4504819034413334e-83,True,1.9210336643101007e-77,True,magnitude_neurons_sparsity30,8.702891420648e-82,True,1.4504819034413333e-82,True
name_mover_heads,5000,0.19612623751163483,1.5362884998321533,0.15169463828206065,0.23740964718163013,-0.3459416329860687,2.5902373790740967,-0.41275198832154275,-0.27339778244495394,2.7638723850250244,0.2001120001077652,1.3676817638254654e-44,True,1.8916574982952046e-42,True,magnitude_neurons_sparsity30,8.206090582952792e-43,True,6.312377371502147e-44,True
negative_name_mover_heads,2000,-0.8228709101676941,1.951327919960022,-0.9075149983167649,-0.7327248707413674,0.1978725790977478,2.5879507064819336,0.09204226359725,0.3086146697402,1.2404661178588867,-0.3414040207862854,7.646545778238421e-50,True,1.738138464922252e-44,True,magnitude_neurons_sparsity30,4.5879274669430526e-48,True,3.8232728891192105e-49,True
backup_name_mover_heads,5000,0.13731375336647034,1.511139154434204,0.09405068326741459,0.17637599334120752,-0.24215815961360931,2.5925142765045166,-0.31742756739258765,-0.16616809628903867,2.7635388374328613,0.13962173461914062,8.904972078339995e-23,True,2.1788327668472553e-21,True,magnitude_neurons_sparsity30,5.342983247003997e-21,True,2.6714916235019985e-22,True
all_heads,26000,0.21300409734249115,1.6182602643966675,0.1933121606707573,0.2330491367727518,-0.16309501230716705,2.596219539642334,-0.19414539821445942,-0.1284919384866953,1.7656896114349365,0.13516834378242493,2.2363550710624862e-104,True,5.276647373983055e-103,True,magnitude_neurons_sparsity30,1.3418130426374916e-102,True,6.709065213187459e-103,True
all_paths,12000,0.26731497049331665,1.5262984037399292,0.23787198550999164,0.296215908229351,-0.12867622077465057,2.589259386062622,-0.1747964546084404,-0.08077029157429935,1.4813655614852905,0.14510588347911835,2.5785100694105528e-56,True,3.579019254379602e-52,True,magnitude_neurons_sparsity30,1.5471060416463318e-54,True,1.4064600378603017e-55,True
DT→S-INH_paths,2000,0.22485706210136414,1.5468697547912598,0.1629536259919405,0.2910585798323154,-0.13035720586776733,2.5885860919952393,-0.2468735326081514,-0.016929534869268546,1.5797336101531982,0.12983103096485138,7.478678480306e-09,True,2.9036277594363252e-08,True,magnitude_neurons_sparsity30,4.4872070881835997e-07,True,1.3197667906422353e-08,True
IND→BNM_paths,2000,0.10793275386095047,1.5315563678741455,0.04085214491933586,0.1758551139384508,-0.11773502826690674,2.5879361629486084,-0.22797026634216305,-0.01268168033566328,2.090818166732788,0.08289315551519394,0.0002161419261611163,True,0.0003929219798818194,True,magnitude_neurons_sparsity30,0.012968515569666978,True,0.0002881892348814884,True
IND→NM_paths,2000,0.11626216024160385,1.5344535112380981,0.05263224048539996,0.18142100758850574,-0.11747147142887115,2.588434934616089,-0.22022201940417288,-0.002755066804820681,2.010401487350464,0.08578626811504364,0.00012918247613596246,True,0.00024333855553344128,True,magnitude_neurons_sparsity30,0.007750948568157747,True,0.00018025461786413366,True
PT→IND_paths,2000,0.11462796479463577,1.5181773900985718,0.04764022966846824,0.1755065556615591,-0.17772820591926575,2.5852465629577637,-0.2953274026513099,-0.07231856416910888,2.550478458404541,0.10793010890483856,1.5017124438046674e-06,True,3.802284020511221e-06,True,magnitude_neurons_sparsity30,9.010274662828005e-05,True,2.502854073007779e-06,True
S-INH→NM_paths,2000,0.659927248954773,1.474485158920288,0.5925066456198692,0.7223872810602188,-0.11291671544313431,2.593432664871216,-0.22815367877483367,0.005719067016616442,1.1711047887802124,0.2839148938655853,1.4496321854999667e-35,True,4.65137475529238e-33,True,magnitude_neurons_sparsity30,8.6977931129998e-34,True,5.436120695624876e-35,True
S-INH→NNM_paths,2000,0.38028284907341003,1.4714932441711426,0.31580403745174407,0.44636357128620147,-0.11584863811731339,2.5913197994232178,-0.22836649976670734,0.004369663796387582,1.3046380281448364,0.18242314457893372,6.040217765459161e-16,True,8.920861649696367e-15,True,magnitude_neurons_sparsity30,3.6241306592754966e-14,True,1.3938964074136526e-15,True
previous_token_heads,3000,0.12393180280923843,1.5586285591125488,0.06607616394758224,0.17531304396688935,0.25756749510765076,2.1999948024749756,0.17616899870336059,0.3326624773442745,-1.0783002376556396,-0.06285662949085236,0.0005848460932263146,True,0.012049638008310801,True,random_neurons_sparsity30,0.035090765593578876,True,0.0007466120339059335,True
duplicate_token_heads,2000,0.24942956864833832,1.6057902574539185,0.17472692541778087,0.3193141549825668,0.3270578384399414,2.191911220550537,0.2318274036049843,0.4244581811130047,-0.31122320890426636,-0.03677361086010933,0.10030149747789031,False,0.34499149732063594,False,random_neurons_sparsity30,1.0,False,0.10746589015488248,False
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2573026157915592,0.3389196954667568,0.3955080509185791,2.189521074295044,0.33168771788477897,0.46021855250000954,-0.3321495056152344,-0.044696930795907974,0.0015858362548052231,True,0.018019885883983497,True,random_neurons_sparsity30,0.09515017528831339,False,0.0019418403120063958,True
s_inhibition_heads,4000,0.7903801202774048,1.5315221548080444,0.7437764510512352,0.8384112849831581,0.479837030172348,2.190599203109741,0.41236528232693676,0.5442958563566208,0.39290347695350647,0.14069433510303497,8.514964494073725e-19,True,1.470260221557996e-19,True,random_neurons_sparsity30,5.108978696444235e-17,True,2.322263043838289e-18,True
name_mover_heads,5000,0.19612623751163483,1.5362884998321533,0.15381998158991336,0.23512513637542723,0.22987507283687592,2.155695676803589,0.16868742629885675,0.28663140162825584,-0.17207710444927216,-0.015713872388005257,0.26660996705781154,False,0.8233940878905119,False,random_neurons_sparsity30,1.0,False,0.2758034141977361,False
negative_name_mover_heads,2000,-0.8228709101676941,1.951327919960022,-0.9108938127756119,-0.7337820872664452,0.3885171115398407,2.175318479537964,0.2933688886463643,0.4785579614341258,1.4721482992172241,-0.538918673992157,7.841064120906384e-113,True,5.159230598289555e-98,True,random_neurons_sparsity30,4.704638472543831e-111,True,4.704638472543831e-111,True
backup_name_mover_heads,5000,0.13731375336647034,1.511139154434204,0.09743149597197773,0.17582417242228984,0.26103806495666504,2.16514253616333,0.19940628856420517,0.318474293500185,-0.9010336399078369,-0.058624207973480225,3.455220306898914e-05,True,0.0033184966129313253,True,random_neurons_sparsity30,0.0020731321841393484,True,5.0564199613154835e-05,True
all_heads,26000,0.21300409734249115,1.6182602643966675,0.1935727957636118,0.2318367760628462,0.3290502429008484,2.1806836128234863,0.30333238914608956,0.3555497996509075,-0.5448070764541626,-0.052945561707019806,1.450943842131955e-17,True,8.510778886408812e-10,True,random_neurons_sparsity30,8.705663052791731e-16,True,3.482265221116692e-17,True
all_paths,12000,0.26731497049331665,1.5262984037399292,0.2404176540672779,0.29413552209734917,0.33383694291114807,2.1800012588500977,0.29356667250394824,0.3710336573421955,-0.24885240197181702,-0.03066985309123993,0.0007830591976420139,True,0.033661273279680604,True,random_neurons_sparsity30,0.046983551858520836,True,0.0009788239970525173,True
