model,layer,layer_name,accuracy,correct_prob,relative_accuracy,accuracy_diff,mapped_to_gpt2_layer
GPT-2,-1,Emb,0.023040944319218395,0.023040944319218395,1.0,0.0,
GPT-2,0,L0,0.07848536252975463,0.07848536252975463,1.0,0.0,
GPT-2,1,L1,0.0919917181134224,0.0919917181134224,1.0,0.0,
GPT-2,2,L2,0.10398569285869598,0.10398569285869598,1.0,0.0,
GPT-2,3,L3,0.1112913990020752,0.1112913990020752,1.0,0.0,
GPT-2,4,L4,0.12186570018529892,0.12186570018529892,1.0,0.0,
GPT-2,5,L5,0.1438767930865288,0.1438767930865288,1.0,0.0,
GPT-2,6,L6,0.1569021898508072,0.1569021898508072,1.0,0.0,
GPT-2,7,L7,0.18089838743209838,0.18089838743209838,1.0,0.0,
GPT-2,8,L8,0.20671994388103485,0.20671994388103485,1.0,0.0,
GPT-2,9,L9,0.2349138730764389,0.2349138730764389,1.0,0.0,
GPT-2,10,L10,0.22086055994033812,0.22086055994033812,1.0,0.0,
GPT-2,11,L11,0.39349950015544893,0.39349950015544893,1.0,0.0,
DistilGPT-2,-1,Emb,0.023040944319218395,0.023040944319218395,1.0,0.0,-1.0
DistilGPT-2,0,L0,0.11447901502251626,0.11447901502251626,1.4586033794405429,-0.035993652492761624,0.0
DistilGPT-2,1,L1,0.13361710742115973,0.13361710742115973,1.4524906172142014,-0.041625389307737334,1.0
DistilGPT-2,2,L2,0.15102376848459242,0.15102376848459242,1.4523514180918669,-0.047038075625896444,2.0
DistilGPT-2,3,L3,0.19352565556764603,0.19352565556764603,1.738909361396719,-0.08223425656557083,3.0
DistilGPT-2,4,L4,0.2253827601671219,0.2253827601671219,1.849435565745107,-0.10351705998182296,4.0
DistilGPT-2,5,L5,0.346059530377388,0.346059530377388,2.4052491229024318,-0.20218273729085923,5.0
