model,component,layer,head,type,score
DistilGPT-2,L4MLP,4,,mlp,0.8838812
DistilGPT-2,L4H1,4,1.0,attention,0.802877
DistilGPT-2,L5MLP,5,,mlp,0.71359885
DistilGPT-2,L3H11,3,11.0,attention,0.30442822
DistilGPT-2,L3MLP,3,,mlp,0.30262798
DistilGPT-2,L0H1,0,1.0,attention,0.0523604
DistilGPT-2,L2MLP,2,,mlp,0.046615195
DistilGPT-2,L0MLP,0,,mlp,0.038696647
DistilGPT-2,L4H3,4,3.0,attention,0.02775318
DistilGPT-2,L5H8,5,8.0,attention,0.01215963
DistilGPT-2,L3H10,3,10.0,attention,0.009548993
DistilGPT-2,L4H9,4,9.0,attention,0.008077399
DistilGPT-2,L3H0,3,0.0,attention,0.008037145
DistilGPT-2,L1MLP,1,,mlp,0.0048955246
DistilGPT-2,L0H4,0,4.0,attention,0.0033773417
DistilGPT-2,L0H7,0,7.0,attention,0.0029420988
DistilGPT-2,L4H11,4,11.0,attention,0.0026656303
DistilGPT-2,L3H2,3,2.0,attention,0.002005331
DistilGPT-2,L0H5,0,5.0,attention,0.001673425
DistilGPT-2,L0H11,0,11.0,attention,0.0015747187
DistilGPT-2,L0H6,0,6.0,attention,0.00092413375
DistilGPT-2,L5H0,5,0.0,attention,0.00081373326
DistilGPT-2,L2H8,2,8.0,attention,0.00068605616
DistilGPT-2,L0H2,0,2.0,attention,0.00017914288
DistilGPT-2,L4H6,4,6.0,attention,0.00017258275
DistilGPT-2,L5H4,5,4.0,attention,0.00015653743
DistilGPT-2,L3H5,3,5.0,attention,0.00014609737
DistilGPT-2,L2H7,2,7.0,attention,0.00013994607
DistilGPT-2,L1H0,1,0.0,attention,9.04123e-05
DistilGPT-2,L1H7,1,7.0,attention,6.105e-05
DistilGPT-2,L1H2,1,2.0,attention,5.805941e-05
DistilGPT-2,L1H8,1,8.0,attention,4.7286358e-05
DistilGPT-2,L5H11,5,11.0,attention,3.6546102e-05
DistilGPT-2,L1H6,1,6.0,attention,2.0990941e-05
DistilGPT-2,L2H0,2,0.0,attention,1.9113015e-05
DistilGPT-2,L0H10,0,10.0,attention,1.5481848e-05
DistilGPT-2,L5H10,5,10.0,attention,1.1011969e-05
DistilGPT-2,L0H3,0,3.0,attention,8.341435e-06
DistilGPT-2,L1H4,1,4.0,attention,7.0470414e-06
DistilGPT-2,L2H10,2,10.0,attention,6.5629415e-06
DistilGPT-2,L1H1,1,1.0,attention,5.20316e-06
DistilGPT-2,L0H0,0,0.0,attention,4.019864e-06
DistilGPT-2,L2H6,2,6.0,attention,3.7173932e-06
DistilGPT-2,L2H1,2,1.0,attention,3.5855662e-06
DistilGPT-2,L5H9,5,9.0,attention,2.971119e-06
DistilGPT-2,L2H5,2,5.0,attention,2.7566653e-06
DistilGPT-2,L4H7,4,7.0,attention,2.6505516e-06
DistilGPT-2,L1H11,1,11.0,attention,2.316587e-06
DistilGPT-2,L4H0,4,0.0,attention,2.1811625e-06
DistilGPT-2,L2H2,2,2.0,attention,2.1436824e-06
DistilGPT-2,L1H10,1,10.0,attention,1.2335885e-06
DistilGPT-2,L4H2,4,2.0,attention,1.2081258e-06
DistilGPT-2,L2H9,2,9.0,attention,1.150919e-06
DistilGPT-2,L3H1,3,1.0,attention,1.0676567e-06
DistilGPT-2,L1H9,1,9.0,attention,9.308955e-07
DistilGPT-2,L3H3,3,3.0,attention,4.221878e-07
DistilGPT-2,L1H3,1,3.0,attention,2.1770626e-07
DistilGPT-2,L5H5,5,5.0,attention,2.0285692e-07
DistilGPT-2,L4H4,4,4.0,attention,1.8131789e-07
DistilGPT-2,L4H10,4,10.0,attention,1.7827747e-07
DistilGPT-2,L3H9,3,9.0,attention,1.5186717e-07
DistilGPT-2,L0H8,0,8.0,attention,1.2760881e-07
DistilGPT-2,L3H6,3,6.0,attention,1.10387056e-07
DistilGPT-2,L3H7,3,7.0,attention,6.761967e-08
DistilGPT-2,L3H4,3,4.0,attention,2.4442532e-08
DistilGPT-2,L2H3,2,3.0,attention,2.3593085e-08
DistilGPT-2,L5H2,5,2.0,attention,1.936624e-08
DistilGPT-2,L4H5,4,5.0,attention,1.2681021e-08
DistilGPT-2,L4H8,4,8.0,attention,1.150086e-08
DistilGPT-2,L2H11,2,11.0,attention,7.4244335e-09
DistilGPT-2,L0H9,0,9.0,attention,4.7029025e-09
DistilGPT-2,L5H6,5,6.0,attention,4.6220037e-09
DistilGPT-2,L2H4,2,4.0,attention,2.9265257e-09
DistilGPT-2,L1H5,1,5.0,attention,9.1521296e-10
DistilGPT-2,L3H8,3,8.0,attention,4.4434706e-10
DistilGPT-2,L5H7,5,7.0,attention,1.5856325e-10
DistilGPT-2,L5H1,5,1.0,attention,1.1154793e-10
DistilGPT-2,L5H3,5,3.0,attention,1.3615579e-11
