model,component,layer,head,type,score
GPT-2,L9MLP,9,,mlp,0.8667761
GPT-2,L10MLP,10,,mlp,0.8630921
GPT-2,L8MLP,8,,mlp,0.5570165
GPT-2,L9H1,9,1.0,attention,0.5513837
GPT-2,L7H11,7,11.0,attention,0.47815454
GPT-2,L11MLP,11,,mlp,0.45099828
GPT-2,L5H0,5,0.0,attention,0.167904
GPT-2,L7MLP,7,,mlp,0.10219063
GPT-2,L0MLP,0,,mlp,0.08307323
GPT-2,L6MLP,6,,mlp,0.04445399
GPT-2,L6H9,6,9.0,attention,0.044221986
GPT-2,L0H1,0,1.0,attention,0.03767224
GPT-2,L2H4,2,4.0,attention,0.02298097
GPT-2,L9H9,9,9.0,attention,0.020292347
GPT-2,L7H2,7,2.0,attention,0.016265992
GPT-2,L7H10,7,10.0,attention,0.01172957
GPT-2,L1MLP,1,,mlp,0.011561368
GPT-2,L3MLP,3,,mlp,0.008524624
GPT-2,L10H4,10,4.0,attention,0.006498971
GPT-2,L10H2,10,2.0,attention,0.0064683747
GPT-2,L8H6,8,6.0,attention,0.0051939944
GPT-2,L0H7,0,7.0,attention,0.0043437555
GPT-2,L4MLP,4,,mlp,0.004115759
GPT-2,L4H8,4,8.0,attention,0.0040466194
GPT-2,L11H8,11,8.0,attention,0.00375432
GPT-2,L6H1,6,1.0,attention,0.002769311
GPT-2,L5MLP,5,,mlp,0.0023515976
GPT-2,L7H0,7,0.0,attention,0.0021932125
GPT-2,L5H5,5,5.0,attention,0.001585892
GPT-2,L8H11,8,11.0,attention,0.0015416333
GPT-2,L1H0,1,0.0,attention,0.0014401238
GPT-2,L8H7,8,7.0,attention,0.0014291041
GPT-2,L11H0,11,0.0,attention,0.00091278006
GPT-2,L2MLP,2,,mlp,0.00084465067
GPT-2,L10H10,10,10.0,attention,0.000821102
GPT-2,L11H11,11,11.0,attention,0.00080518826
GPT-2,L1H8,1,8.0,attention,0.00069253816
GPT-2,L6H10,6,10.0,attention,0.00050394755
GPT-2,L0H10,0,10.0,attention,0.00035982084
