model,component,layer,head,type,score
DistilGPT-2,L5H10,5,10.0,attention,0.24767198
DistilGPT-2,L5MLP,5,,mlp,0.093885526
DistilGPT-2,L3H3,3,3.0,attention,0.037288133
DistilGPT-2,L4H5,4,5.0,attention,0.028214443
DistilGPT-2,L3H9,3,9.0,attention,0.024190517
DistilGPT-2,L1MLP,1,,mlp,0.011377222
DistilGPT-2,L4H7,4,7.0,attention,0.006455339
DistilGPT-2,L0MLP,0,,mlp,0.005991092
DistilGPT-2,L2MLP,2,,mlp,0.0052053714
DistilGPT-2,L2H0,2,0.0,attention,0.0024064288
DistilGPT-2,L1H7,1,7.0,attention,0.0018161314
DistilGPT-2,L1H6,1,6.0,attention,0.0017704112
DistilGPT-2,L2H4,2,4.0,attention,0.0014643886
DistilGPT-2,L0H1,0,1.0,attention,0.0012859204
DistilGPT-2,L3H6,3,6.0,attention,0.0011641576
DistilGPT-2,L2H7,2,7.0,attention,0.001148797
DistilGPT-2,L3H0,3,0.0,attention,0.0010479349
DistilGPT-2,L1H5,1,5.0,attention,0.00094808784
DistilGPT-2,L0H3,0,3.0,attention,0.0005831103
DistilGPT-2,L2H10,2,10.0,attention,0.0004423814
DistilGPT-2,L1H8,1,8.0,attention,0.00043681217
DistilGPT-2,L1H2,1,2.0,attention,0.00040491842
DistilGPT-2,L1H11,1,11.0,attention,0.0003849342
DistilGPT-2,L0H11,0,11.0,attention,0.00037716597
DistilGPT-2,L0H5,0,5.0,attention,0.00036971833
DistilGPT-2,L0H9,0,9.0,attention,0.0003348449
DistilGPT-2,L3H2,3,2.0,attention,0.000323747
DistilGPT-2,L2H11,2,11.0,attention,0.00021167645
DistilGPT-2,L3H10,3,10.0,attention,8.441084e-05
DistilGPT-2,L0H8,0,8.0,attention,-0.00022874391
DistilGPT-2,L5H4,5,4.0,attention,-0.00022955453
DistilGPT-2,L3H11,3,11.0,attention,-0.00051577867
DistilGPT-2,L2H5,2,5.0,attention,-0.00057413825
DistilGPT-2,L0H10,0,10.0,attention,-0.00074448757
DistilGPT-2,L2H1,2,1.0,attention,-0.00088469824
DistilGPT-2,L3H7,3,7.0,attention,-0.0009013701
DistilGPT-2,L0H2,0,2.0,attention,-0.0010036022
DistilGPT-2,L2H2,2,2.0,attention,-0.0010159926
DistilGPT-2,L4H10,4,10.0,attention,-0.0010266962
DistilGPT-2,L1H10,1,10.0,attention,-0.0012582734
DistilGPT-2,L1H0,1,0.0,attention,-0.0012617443
DistilGPT-2,L2H6,2,6.0,attention,-0.0013326338
DistilGPT-2,L1H3,1,3.0,attention,-0.0013736713
DistilGPT-2,L3H4,3,4.0,attention,-0.0014202574
DistilGPT-2,L0H4,0,4.0,attention,-0.0015037965
DistilGPT-2,L2H9,2,9.0,attention,-0.0015053683
DistilGPT-2,L1H4,1,4.0,attention,-0.0016195935
DistilGPT-2,L2H8,2,8.0,attention,-0.0016691777
DistilGPT-2,L4H3,4,3.0,attention,-0.0018075344
DistilGPT-2,L5H7,5,7.0,attention,-0.0019002605
DistilGPT-2,L4H1,4,1.0,attention,-0.001986934
DistilGPT-2,L4H4,4,4.0,attention,-0.0024224925
DistilGPT-2,L1H1,1,1.0,attention,-0.0025811163
DistilGPT-2,L0H0,0,0.0,attention,-0.002864251
DistilGPT-2,L0H7,0,7.0,attention,-0.0030229902
DistilGPT-2,L2H3,2,3.0,attention,-0.0031024767
DistilGPT-2,L3H8,3,8.0,attention,-0.0033585024
DistilGPT-2,L1H9,1,9.0,attention,-0.0035394935
DistilGPT-2,L5H5,5,5.0,attention,-0.004286302
DistilGPT-2,L3H1,3,1.0,attention,-0.0043199407
DistilGPT-2,L4MLP,4,,mlp,-0.0051896344
DistilGPT-2,L0H6,0,6.0,attention,-0.010572892
DistilGPT-2,L4H2,4,2.0,attention,-0.012578951
DistilGPT-2,L4H0,4,0.0,attention,-0.015851175
DistilGPT-2,L4H11,4,11.0,attention,-0.016634762
DistilGPT-2,L3MLP,3,,mlp,-0.018275592
DistilGPT-2,L3H5,3,5.0,attention,-0.018525802
DistilGPT-2,L5H11,5,11.0,attention,-0.023558285
DistilGPT-2,L5H8,5,8.0,attention,-0.02414692
DistilGPT-2,L5H0,5,0.0,attention,-0.02949751
DistilGPT-2,L5H3,5,3.0,attention,-0.030837705
DistilGPT-2,L5H9,5,9.0,attention,-0.042265452
DistilGPT-2,L5H2,5,2.0,attention,-0.06427503
DistilGPT-2,L4H9,4,9.0,attention,-0.06899458
DistilGPT-2,L5H6,5,6.0,attention,-0.084038384
DistilGPT-2,L5H1,5,1.0,attention,-0.09244898
DistilGPT-2,L4H8,4,8.0,attention,-0.09412774
DistilGPT-2,L4H6,4,6.0,attention,-0.198864
