model,component,layer,head,type,score
GPT-2,L9H9,9,9.0,attention,1.834862
GPT-2,L9H6,9,6.0,attention,0.7481774
GPT-2,L10H0,10,0.0,attention,0.44979727
GPT-2,L10H10,10,10.0,attention,0.3802193
GPT-2,L8H10,8,10.0,attention,0.19258083
GPT-2,L10H6,10,6.0,attention,0.18265437
GPT-2,L10H1,10,1.0,attention,0.16817084
GPT-2,L7H9,7,9.0,attention,0.15168917
GPT-2,L10MLP,10,,mlp,0.09040962
GPT-2,L9MLP,9,,mlp,0.074547075
GPT-2,L7H3,7,3.0,attention,0.07406284
GPT-2,L9H7,9,7.0,attention,0.05496729
GPT-2,L9H0,9,0.0,attention,0.03805623
GPT-2,L9H5,9,5.0,attention,0.03246527
GPT-2,L11H11,11,11.0,attention,0.023294035
GPT-2,L9H2,9,2.0,attention,0.018729592
GPT-2,L11H3,11,3.0,attention,0.01852365
GPT-2,L11H9,11,9.0,attention,0.013713707
GPT-2,L10H3,10,3.0,attention,0.013580344
GPT-2,L11H8,11,8.0,attention,0.013073732
GPT-2,L11MLP,11,,mlp,0.010673301
GPT-2,L8H3,8,3.0,attention,0.0091817295
GPT-2,L11H7,11,7.0,attention,0.00840565
GPT-2,L0MLP,0,,mlp,0.007933108
GPT-2,L1MLP,1,,mlp,0.004492464
GPT-2,L4MLP,4,,mlp,0.004236051
GPT-2,L2H7,2,7.0,attention,0.0041863346
GPT-2,L3H7,3,7.0,attention,0.0035475746
GPT-2,L1H8,1,8.0,attention,0.003308032
GPT-2,L9H3,9,3.0,attention,0.0032805384
GPT-2,L2H10,2,10.0,attention,0.0032050684
GPT-2,L6H6,6,6.0,attention,0.0027306671
GPT-2,L8H7,8,7.0,attention,0.0026835704
GPT-2,L8H9,8,9.0,attention,0.0025971432
GPT-2,L3MLP,3,,mlp,0.0025812394
GPT-2,L7H6,7,6.0,attention,0.0025348826
GPT-2,L10H11,10,11.0,attention,0.0024888474
GPT-2,L2MLP,2,,mlp,0.002384535
GPT-2,L6H2,6,2.0,attention,0.0021820287
GPT-2,L6H5,6,5.0,attention,0.0021732291
GPT-2,L0H1,0,1.0,attention,0.0021531612
GPT-2,L2H6,2,6.0,attention,0.0020972525
GPT-2,L8H4,8,4.0,attention,0.0019109986
GPT-2,L2H8,2,8.0,attention,0.0018767549
GPT-2,L10H5,10,5.0,attention,0.001793686
GPT-2,L3H9,3,9.0,attention,0.0016317547
GPT-2,L1H9,1,9.0,attention,0.0015199821
GPT-2,L2H2,2,2.0,attention,0.0014730114
GPT-2,L1H3,1,3.0,attention,0.0012923395
GPT-2,L1H10,1,10.0,attention,0.0012656037
GPT-2,L1H11,1,11.0,attention,0.001263236
GPT-2,L5MLP,5,,mlp,0.0011721778
GPT-2,L0H9,0,9.0,attention,0.0011135545
GPT-2,L4H11,4,11.0,attention,0.0010464628
GPT-2,L5H9,5,9.0,attention,0.0009854631
GPT-2,L3H10,3,10.0,attention,0.0009317832
GPT-2,L4H0,4,0.0,attention,0.00092782837
GPT-2,L6H11,6,11.0,attention,0.00087582285
GPT-2,L5H8,5,8.0,attention,0.00079553283
GPT-2,L4H4,4,4.0,attention,0.0007627049
GPT-2,L0H8,0,8.0,attention,0.00069572305
GPT-2,L5H7,5,7.0,attention,0.0006251972
GPT-2,L0H3,0,3.0,attention,0.00062016293
GPT-2,L4H10,4,10.0,attention,0.0006081414
GPT-2,L3H4,3,4.0,attention,0.0005593774
GPT-2,L7H4,7,4.0,attention,0.0005183619
GPT-2,L3H1,3,1.0,attention,0.0004998279
GPT-2,L1H2,1,2.0,attention,0.0004955505
GPT-2,L4H7,4,7.0,attention,0.0004683551
GPT-2,L0H5,0,5.0,attention,0.0004609428
GPT-2,L7H0,7,0.0,attention,0.0004420262
GPT-2,L2H5,2,5.0,attention,0.00037725247
GPT-2,L5H11,5,11.0,attention,0.00033211595
GPT-2,L5H0,5,0.0,attention,0.0003266707
GPT-2,L5H6,5,6.0,attention,0.00025055485
GPT-2,L0H11,0,11.0,attention,0.00024269545
GPT-2,L3H8,3,8.0,attention,8.9116125e-05
GPT-2,L7H10,7,10.0,attention,8.686851e-05
GPT-2,L7H2,7,2.0,attention,3.3723667e-05
GPT-2,L5H1,5,1.0,attention,2.8832495e-05
GPT-2,L10H4,10,4.0,attention,2.0299733e-05
GPT-2,L9H10,9,10.0,attention,-8.33107e-05
GPT-2,L1H4,1,4.0,attention,-0.00010177839
GPT-2,L2H11,2,11.0,attention,-0.00015122682
GPT-2,L11H5,11,5.0,attention,-0.00018282926
GPT-2,L3H2,3,2.0,attention,-0.00018329387
GPT-2,L5H3,5,3.0,attention,-0.00024509823
GPT-2,L4H9,4,9.0,attention,-0.00024770026
GPT-2,L10H8,10,8.0,attention,-0.00026618576
GPT-2,L1H5,1,5.0,attention,-0.00027924863
GPT-2,L4H1,4,1.0,attention,-0.00032849525
GPT-2,L4H5,4,5.0,attention,-0.000332939
GPT-2,L8H0,8,0.0,attention,-0.00036123872
GPT-2,L2H1,2,1.0,attention,-0.0003902542
GPT-2,L8H1,8,1.0,attention,-0.0004026596
GPT-2,L1H0,1,0.0,attention,-0.00045062392
GPT-2,L6H10,6,10.0,attention,-0.00059229095
GPT-2,L6H9,6,9.0,attention,-0.0005999335
GPT-2,L5H4,5,4.0,attention,-0.00060004904
GPT-2,L3H3,3,3.0,attention,-0.0006014807
GPT-2,L4H2,4,2.0,attention,-0.0007822542
