model,layer,accuracy,correct_prob,relative_accuracy,accuracy_drop
base_model,-1,0.0,0.0,1.0,0.0
base_model,0,0.04041269950568676,0.04041269950568676,1.0,0.0
base_model,1,0.030698413643985987,0.030698413643985987,1.0,0.0
base_model,2,0.035142858132719994,0.035142858132719994,1.0,0.0
base_model,3,0.05965079540014267,0.05965079540014267,1.0,0.0
base_model,4,0.06625397019088268,0.06625397019088268,1.0,0.0
base_model,5,0.07669841465353966,0.07669841465353966,1.0,0.0
base_model,6,0.10520635169744491,0.10520635169744491,1.0,0.0
base_model,7,0.1287619089484215,0.1287619089484215,1.0,0.0
base_model,8,0.19425397169589997,0.19425397169589997,1.0,0.0
base_model,9,0.2892380999326706,0.2892380999326706,1.0,0.0
base_model,10,0.3618412709236145,0.3618412709236145,1.0,0.0
base_model,11,0.4433333294391632,0.4433333294391632,1.0,0.0
magnitude_attention_heads_sparsity30,-1,0.0,0.0,1.0,0.0
magnitude_attention_heads_sparsity30,0,0.04041269950568676,0.04041269950568676,1.0,0.0
magnitude_attention_heads_sparsity30,1,0.041873016983270644,0.041873016983270644,1.3640124036661365,-0.011174603339284658
magnitude_attention_heads_sparsity30,2,0.05095238240063191,0.05095238240063191,1.449864499017294,-0.015809524267911913
magnitude_attention_heads_sparsity30,3,0.046317461527884005,0.046317461527884005,0.7764768469084525,0.013333333872258664
magnitude_attention_heads_sparsity30,4,0.06130158905684948,0.06130158905684948,0.9252515567027151,0.0049523811340332
magnitude_attention_heads_sparsity30,5,0.06222222392261028,0.06222222392261028,0.8112582796356235,0.01447619073092938
magnitude_attention_heads_sparsity30,6,0.09225397056341171,0.09225397056341171,0.8768859396314589,0.0129523811340332
magnitude_attention_heads_sparsity30,7,0.10707936742901802,0.10707936742901802,0.831607486278501,0.021682541519403464
magnitude_attention_heads_sparsity30,8,0.15482540184259413,0.15482540184259413,0.7970256694929753,0.03942856985330584
magnitude_attention_heads_sparsity30,9,0.2160317486524582,0.2160317486524582,0.7468993493690717,0.07320635128021238
magnitude_attention_heads_sparsity30,10,0.29076191020011904,0.29076191020011904,0.803562041051695,0.07107936072349547
magnitude_attention_heads_sparsity30,11,0.35666666746139525,0.35666666746139525,0.8045112870548099,0.08666666197776796
magnitude_attention_heads_sparsity50,-1,0.0,0.0,1.0,0.0
magnitude_attention_heads_sparsity50,0,0.04041269950568676,0.04041269950568676,1.0,0.0
magnitude_attention_heads_sparsity50,1,0.041873016983270644,0.041873016983270644,1.3640124036661365,-0.011174603339284658
magnitude_attention_heads_sparsity50,2,0.05095238240063191,0.05095238240063191,1.449864499017294,-0.015809524267911913
magnitude_attention_heads_sparsity50,3,0.05457143002748489,0.05457143002748489,0.9148483211567431,0.005079365372657775
magnitude_attention_heads_sparsity50,4,0.06241270025074482,0.06241270025074482,0.9420220414101846,0.0038412699401378578
magnitude_attention_heads_sparsity50,5,0.058857144489884376,0.058857144489884376,0.767384107686613,0.017841270163655283
magnitude_attention_heads_sparsity50,6,0.07336508139967918,0.07336508139967918,0.697344601499578,0.031841270297765734
magnitude_attention_heads_sparsity50,7,0.09158730366826058,0.09158730366826058,0.7112919062496034,0.03717460528016091
magnitude_attention_heads_sparsity50,8,0.14479365533590316,0.14479365533590316,0.7453832427301627,0.049460316359996814
magnitude_attention_heads_sparsity50,9,0.1970476222038269,0.1970476222038269,0.681264405518139,0.09219047772884367
magnitude_attention_heads_sparsity50,10,0.25336508405208585,0.25336508405208585,0.7002105741154435,0.10847618687152866
magnitude_attention_heads_sparsity50,11,0.28879365599155427,0.28879365599155427,0.651414267357005,0.15453967344760894
magnitude_attention_heads_sparsity70,-1,0.0,0.0,1.0,0.0
magnitude_attention_heads_sparsity70,0,0.05482539835572243,0.05482539835572243,1.3566378644912735,-0.014412698850035668
magnitude_attention_heads_sparsity70,1,0.05695238257944584,0.05695238257944584,1.8552223329821205,-0.026253968935459854
magnitude_attention_heads_sparsity70,2,0.057714287489652634,0.057714287489652634,1.6422764270250791,-0.02257142935693264
magnitude_attention_heads_sparsity70,3,0.05688889060914516,0.05688889060914516,0.9536987768147867,0.002761904790997506
magnitude_attention_heads_sparsity70,4,0.05568254116177559,0.05568254116177559,0.8404408219062193,0.010571429029107092
magnitude_attention_heads_sparsity70,5,0.053523811101913454,0.053523811101913454,0.6978476849057441,0.023174603551626205
magnitude_attention_heads_sparsity70,6,0.062095240160822865,0.062095240160822865,0.5902233007698806,0.043111111536622046
magnitude_attention_heads_sparsity70,7,0.06841270041465759,0.06841270041465759,0.5313116353537587,0.060349208533763896
magnitude_attention_heads_sparsity70,8,0.09419047820568084,0.09419047820568084,0.48488315262420384,0.10006349349021913
magnitude_attention_heads_sparsity70,9,0.15276190996170044,0.15276190996170044,0.5281527917562059,0.13647618997097014
magnitude_attention_heads_sparsity70,10,0.18111111515760422,0.18111111515760422,0.5005264178276589,0.1807301557660103
magnitude_attention_heads_sparsity70,11,0.2182539703845978,0.2182539703845978,0.4923021931617435,0.22507935905456541
magnitude_neurons_sparsity30,-1,0.0,0.0,1.0,0.0
magnitude_neurons_sparsity30,0,0.03561904878914356,0.03561904878914356,0.8813825659959031,0.004793650716543196
magnitude_neurons_sparsity30,1,0.03860317579656839,0.03860317579656839,1.257497414825896,-0.007904762152582404
magnitude_neurons_sparsity30,2,0.03533333430439234,0.03533333430439234,1.0054200535128075,-0.00019047617167234493
magnitude_neurons_sparsity30,3,0.04460317586362362,0.04460317586362362,0.7477381577969192,0.01504761953651905
magnitude_neurons_sparsity30,4,0.05431746180355549,0.05431746180355549,0.819837085189956,0.01193650838732719
magnitude_neurons_sparsity30,5,0.06234920814633369,0.06234920814633369,0.812913909993787,0.014349206507205968
magnitude_neurons_sparsity30,6,0.045047620378434655,0.045047620378434655,0.4281834666026985,0.060158731319010256
magnitude_neurons_sparsity30,7,0.06203174789249897,0.06203174789249897,0.48175542285061335,0.06673016105592253
magnitude_neurons_sparsity30,8,0.05600000154972076,0.05600000154972076,0.28828240195463006,0.1382539701461792
magnitude_neurons_sparsity30,9,0.08098412930965423,0.08098412930965423,0.2799912229008069,0.20825397062301634
magnitude_neurons_sparsity30,10,0.11926984411478042,0.11926984411478042,0.3296192383205468,0.2425714268088341
magnitude_neurons_sparsity30,11,0.16850794106721878,0.16850794106721878,0.38009310349029923,0.2748253883719444
magnitude_neurons_sparsity50,-1,0.0,0.0,1.0,0.0
magnitude_neurons_sparsity50,0,0.03215873123705387,0.03215873123705387,0.7957580570070205,0.008253968268632887
magnitude_neurons_sparsity50,1,0.04980952507257461,0.04980952507257461,1.6225439415281517,-0.019111111428588626
magnitude_neurons_sparsity50,2,0.03212698515877128,0.03212698515877128,0.9141824787682602,0.003015872973948716
magnitude_neurons_sparsity50,3,0.04473016005009413,0.04473016005009413,0.7498669506423237,0.01492063535004854
magnitude_neurons_sparsity50,4,0.05650793813169003,0.05650793813169003,0.8528988975134079,0.009746032059192652
magnitude_neurons_sparsity50,5,0.06015873193740845,0.06015873193740845,0.7843543078322559,0.01653968271613121
magnitude_neurons_sparsity50,6,0.03958730271831155,0.03958730271831155,0.3762824399819292,0.06561904897913337
magnitude_neurons_sparsity50,7,0.04666666798293591,0.04666666798293591,0.3624260339416784,0.08209524096548558
magnitude_neurons_sparsity50,8,0.04336508073657751,0.04336508073657751,0.22323909445962073,0.15088889095932245
magnitude_neurons_sparsity50,9,0.05822222394496202,0.05822222394496202,0.20129514043452473,0.23101587598770856
magnitude_neurons_sparsity50,10,0.06580952575802804,0.06580952575802804,0.18187401782567963,0.2960317451655865
magnitude_neurons_sparsity50,11,0.12590476566553116,0.12590476566553116,0.2839957145220875,0.31742856377363204
magnitude_neurons_sparsity70,-1,0.0,0.0,1.0,0.0
magnitude_neurons_sparsity70,0,0.03285714393854141,0.03285714393854141,0.8130400676133464,0.00755555556714535
magnitude_neurons_sparsity70,1,0.05736508095264435,0.05736508095264435,1.8686659714054161,-0.026666667308658364
magnitude_neurons_sparsity70,2,0.03409523909166455,0.03409523909166455,0.9701897029234497,0.0010476190410554434
magnitude_neurons_sparsity70,3,0.03631746130436659,0.03631746130436659,0.6088344851186969,0.02333333409577608
magnitude_neurons_sparsity70,4,0.03609523914754391,0.03609523914754391,0.5448011499318578,0.03015873104333877
magnitude_neurons_sparsity70,5,0.027777778688818217,0.027777778688818217,0.3621688768183198,0.048920635964721446
magnitude_neurons_sparsity70,6,0.011619048088788986,0.011619048088788986,0.110440557070198,0.09358730360865593
magnitude_neurons_sparsity70,7,0.008126984477043152,0.008126984477043152,0.06311637147518992,0.12063492447137833
magnitude_neurons_sparsity70,8,0.006698412977159023,0.006698412977159023,0.034482759444657486,0.18755555871874094
magnitude_neurons_sparsity70,9,0.014222222737967968,0.014222222737967968,0.049171332342726096,0.2750158771947026
magnitude_neurons_sparsity70,10,0.030158731020987033,0.030158731020987033,0.08334795791537447,0.33168253990262747
magnitude_neurons_sparsity70,11,0.0316190485432744,0.0316190485432744,0.07132116275416048,0.4117142808958888
random_attention_heads_sparsity30,-1,0.0,0.0,1.0,0.0
random_attention_heads_sparsity30,0,0.027492064349353314,0.027492064349353314,0.6802827993582737,0.012920635156333446
random_attention_heads_sparsity30,1,0.049460318803787234,0.049460318803787234,1.6111685567008711,-0.018761905159801247
random_attention_heads_sparsity30,2,0.06320635119080543,0.06320635119080543,1.7985546580218739,-0.02806349305808544
random_attention_heads_sparsity30,3,0.061142859071493146,0.061142859071493146,1.0250133072214977,-0.001492063671350477
random_attention_heads_sparsity30,4,0.05936508105695248,0.05936508105695248,0.8960229988620637,0.0068888891339302025
random_attention_heads_sparsity30,5,0.054698414221405985,0.054698414221405985,0.7131622533332458,0.022000000432133675
random_attention_heads_sparsity30,6,0.04292063608765602,0.04292063608765602,0.4079662054158885,0.06228571560978889
random_attention_heads_sparsity30,7,0.05317460477352142,0.05317460477352142,0.4129684408051275,0.07558730417490006
random_attention_heads_sparsity30,8,0.07552381172776222,0.07552381172776222,0.38878902227025236,0.11873015996813775
random_attention_heads_sparsity30,9,0.11126984375715256,0.11126984375715256,0.3846998157678887,0.17796825617551804
random_attention_heads_sparsity30,10,0.1412698460817337,0.1412698460817337,0.3904193839501412,0.2205714248418808
random_attention_heads_sparsity30,11,0.18809524178504944,0.18809524178504944,0.42427498519680096,0.25523808765411377
random_attention_heads_sparsity50,-1,0.0,0.0,1.0,0.0
random_attention_heads_sparsity50,0,0.04000000111013651,0.04000000111013651,0.9897879032928207,0.00041269839555024834
random_attention_heads_sparsity50,1,0.04180952499806881,0.04180952499806881,1.361944153953361,-0.011111111354082822
random_attention_heads_sparsity50,2,0.04593650910258293,0.04593650910258293,1.3071364010604885,-0.010793650969862935
random_attention_heads_sparsity50,3,0.04517460452020168,0.04517460452020168,0.7573177225411085,0.014476190879940988
random_attention_heads_sparsity50,4,0.04463492173701525,0.04463492173701525,0.6736942949746056,0.02161904845386743
random_attention_heads_sparsity50,5,0.03663492161035538,0.03663492161035538,0.4776490071645133,0.04006349304318428
random_attention_heads_sparsity50,6,0.047904763221740726,0.047904763221740726,0.45534097940689416,0.057301588475704185
random_attention_heads_sparsity50,7,0.06193650984764099,0.06193650984764099,0.4810157782955134,0.0668253991007805
random_attention_heads_sparsity50,8,0.08371428775787354,0.08371428775787354,0.4309527729447215,0.11053968393802643
random_attention_heads_sparsity50,9,0.12266667026281357,0.12266667026281357,0.42410273850978886,0.166571429669857
random_attention_heads_sparsity50,10,0.1573968303799629,0.1573968303799629,0.4349886069607293,0.2044444405436516
random_attention_heads_sparsity50,11,0.1978095269203186,0.1978095269203186,0.4461869067470218,0.2455238025188446
random_attention_heads_sparsity70,-1,0.0,0.0,1.0,0.0
random_attention_heads_sparsity70,0,0.017619048170745374,0.017619048170745374,0.43597800657355423,0.022793651334941385
random_attention_heads_sparsity70,1,0.008158730529248714,0.008158730529248714,0.26577042787509186,0.022539683114737273
random_attention_heads_sparsity70,2,0.010888889331370593,0.010888889331370593,0.3098464356612025,0.0242539688013494
random_attention_heads_sparsity70,3,0.03063492164760828,0.03063492164760828,0.5135710503457094,0.02901587375253439
random_attention_heads_sparsity70,4,0.05082539811730385,0.05082539811730385,0.7671298485339376,0.015428572073578832
random_attention_heads_sparsity70,5,0.04231746153533459,0.04231746153533459,0.5517384124103486,0.03438095311820507
random_attention_heads_sparsity70,6,0.01241269888728857,0.01241269888728857,0.11798431070954085,0.09279365281015634
random_attention_heads_sparsity70,7,0.025428572203963995,0.025428572203963995,0.19748520670154082,0.1033333367444575
