model,layer,entropy,relative_entropy,max_attention,attention_std
base_model,0,2.6399267053604127,1.0,0.33612861025333407,0.03051178365573287
base_model,1,3.1951937012672422,1.0,0.22832560348510741,0.022367898531258108
base_model,2,2.152385330438614,1.0,0.38057339656352995,0.03470589452981949
base_model,3,1.699578610420227,1.0,0.48713039922714235,0.042360984832048414
base_model,4,1.68627512216568,1.0,0.5665095117092133,0.04611874757707119
base_model,5,1.5193497722148894,1.0,0.6213823676109314,0.04996774934977293
base_model,6,1.7914146494865417,1.0,0.5679875351190568,0.04584824851155281
base_model,7,1.3781873636245727,1.0,0.6763723655939102,0.053459043636918065
base_model,8,1.881099020242691,1.0,0.5633181368112564,0.045310254856944086
base_model,9,1.7125385375022888,1.0,0.617673879981041,0.04912660370767116
base_model,10,1.8671694748401642,1.0,0.5777904633283615,0.04637882836163044
base_model,11,2.424272208213806,1.0,0.46851025611162184,0.03816656246781349
gpt2_fp16_gpu,0,2.639921865940094,0.9999981667974688,0.33612967836856844,0.03051181984692812
gpt2_fp16_gpu,1,3.195046465396881,0.9999539195478828,0.22835519769787788,0.02237011270225048
gpt2_fp16_gpu,2,2.15229936003685,0.9999600580339661,0.38057440567016604,0.03470633078366518
gpt2_fp16_gpu,3,1.6993456780910492,0.9998629469518291,0.4871934607028961,0.04236561267822981
gpt2_fp16_gpu,4,1.6864029178619384,1.0000757857330462,0.5664399231672287,0.04611432096362114
gpt2_fp16_gpu,5,1.519654972076416,1.0002008752474827,0.6212537239789963,0.04995986045897007
gpt2_fp16_gpu,6,1.7908647189140319,0.9996930187700336,0.5681186316013336,0.04585782562196255
gpt2_fp16_gpu,7,1.378938915014267,1.0005453186623792,0.6761598747968673,0.05344447509944439
gpt2_fp16_gpu,8,1.8807859499454498,0.9998335704852028,0.5633961799144744,0.04531569392979145
gpt2_fp16_gpu,9,1.7129195082187652,1.000222459587397,0.6175765867233276,0.0491198068857193
gpt2_fp16_gpu,10,1.867400866985321,1.0001239266431154,0.5777538017630577,0.04637596634030342
gpt2_fp16_gpu,11,2.4241667516231535,0.9999564996495481,0.46854783928394317,0.038169048503041265
gpt2_int8_quantized,0,2.640073055267334,1.0000554370720287,0.33604039645195005,0.030508358728140592
gpt2_int8_quantized,1,3.7432751932144166,1.1715331034899847,0.12489005191624164,0.014815519575029612
gpt2_int8_quantized,2,4.11144366645813,1.9101801188308973,0.054956333309412006,0.009560488180257381
gpt2_int8_quantized,3,4.173075820446014,2.4553591076135453,0.03619134593009949,0.008634456126950681
gpt2_int8_quantized,4,4.172946656227112,2.4746535136095344,0.035709871545434,0.008635906521230936
gpt2_int8_quantized,5,4.17396982049942,2.7472079810430596,0.0348948354832828,0.008619169007055462
gpt2_int8_quantized,6,4.174109897136688,2.330063504895459,0.03460549713298679,0.008616727858781814
gpt2_int8_quantized,7,4.1740034532546995,3.0286182874107843,0.034921631772071124,0.008618597672320902
gpt2_int8_quantized,8,4.1738967533111575,2.2188607341631457,0.03504781190305948,0.00862038541585207
gpt2_int8_quantized,9,4.173530912399292,2.437043500488239,0.036083506986498835,0.008627010298892856
gpt2_int8_quantized,10,4.17184579372406,2.2343155507390415,0.038296526558697225,0.008656951633282006
gpt2_int8_quantized,11,4.14169056224823,1.708426367321584,0.046082881696522235,0.009107885556295514
