model,layer,accuracy,correct_prob,relative_accuracy,accuracy_drop
base_model,-1,0.0,0.0,1.0,0.0
base_model,0,0.04465633938682336,0.04465633938682336,1.0,0.0
base_model,1,0.03802519016418381,0.03802519016418381,1.0,0.0
base_model,2,0.03951413558883234,0.03951413558883234,1.0,0.0
base_model,3,0.05265906830964041,0.05265906830964041,1.0,0.0
base_model,4,0.061098783440454954,0.061098783440454954,1.0,0.0
base_model,5,0.07671997021201443,0.07671997021201443,1.0,0.0
base_model,6,0.10737718688435731,0.10737718688435731,1.0,0.0
base_model,7,0.1519451505508325,0.1519451505508325,1.0,0.0
base_model,8,0.21255505259739688,0.21255505259739688,1.0,0.0
base_model,9,0.31527287961444983,0.31527287961444983,1.0,0.0
base_model,10,0.3932538595438707,0.3932538595438707,1.0,0.0
base_model,11,0.4645602185659817,0.4645602185659817,1.0,0.0
gpt2_fp16_gpu,-1,0.0,0.0,1.0,0.0
gpt2_fp16_gpu,0,0.044607489271782694,0.044607489271782694,0.9989060877870549,4.885011504066755e-05
gpt2_fp16_gpu,1,0.03803107884847949,0.03803107884847949,1.0001548627178523,-5.8886842956781815e-06
gpt2_fp16_gpu,2,0.0395133826369387,0.0395133826369387,0.9999809447459138,7.52951893639997e-07
gpt2_fp16_gpu,3,0.052632558608310565,0.052632558608310565,0.999496578610659,2.6509701329842372e-05
gpt2_fp16_gpu,4,0.061108214070368726,0.061108214070368726,1.000154350535031,-9.430629913771693e-06
gpt2_fp16_gpu,5,0.07681662556092564,0.07681662556092564,1.0012598460171986,-9.665534891120653e-05
gpt2_fp16_gpu,6,0.10744292840674217,0.10744292840674217,1.0006122485072706,-6.574152238486564e-05
gpt2_fp16_gpu,7,0.15203336687943955,0.15203336687943955,1.000580580086217,-8.82163286070603e-05
gpt2_fp16_gpu,8,0.212592717306033,0.212592717306033,1.0001771997803668,-3.766470863611482e-05
gpt2_fp16_gpu,9,0.31535348195501695,0.31535348195501695,1.0002556589728417,-8.060234056711524e-05
gpt2_fp16_gpu,10,0.39326271368031906,0.39326271368031906,1.0000225150656084,-8.854136448355199e-06
gpt2_fp16_gpu,11,0.4644626590244826,0.4644626590244826,0.9997899959195812,9.755954149909263e-05
gpt2_int8_quantized,-1,1.1428571428571429e-05,1.1428571428571429e-05,1.0000114285714286,-1.1428571428571429e-05
gpt2_int8_quantized,0,0.04617559211219755,0.04617559211219755,1.0340209866333663,-0.00151925272537419
gpt2_int8_quantized,1,0.04137970705792528,0.04137970705792528,1.0882182805465916,-0.0033545168937414646
gpt2_int8_quantized,2,0.06931433647067804,0.06931433647067804,1.7541655774008116,-0.0298002008818457
gpt2_int8_quantized,3,0.05760647951670212,0.05760647951670212,1.093951742138134,-0.004947411207061714
gpt2_int8_quantized,4,0.04960008222831972,0.04960008222831972,0.8118014702642725,0.011498701212135233
gpt2_int8_quantized,5,0.05967846618182719,0.05967846618182719,0.7778739488154999,0.01704150403018724
gpt2_int8_quantized,6,0.09018605141199369,0.09018605141199369,0.8398995543543335,0.017191135472363617
gpt2_int8_quantized,7,0.1498299493915553,0.1498299493915553,0.9860791795486125,0.0021152011592771858
gpt2_int8_quantized,8,0.1996877982023509,0.1996877982023509,0.9394638977629105,0.012867254395045963
gpt2_int8_quantized,9,0.2795399716745576,0.2795399716745576,0.8866603813699727,0.035732907939892256
gpt2_int8_quantized,10,0.132197323806391,0.132197323806391,0.336162813404361,0.2610565357374797
gpt2_int8_quantized,11,0.0,0.0,0.0,0.4645602185659817
