model,method,target,sparsity,perplexity,loss,ppl_increase,ppl_increase_pct
base_model,base,none,0,46.82198572513303,3.846352873062872,0.0,0.0
magnitude_attention_heads_sparsity30,magnitude,attention_heads,30,85.6503795319531,4.450273655956495,38.828393806820074,82.92769562307954
magnitude_attention_heads_sparsity50,magnitude,attention_heads,50,140.84156114489133,4.94763557875319,94.0195754197583,200.8021957285135
magnitude_attention_heads_sparsity70,magnitude,attention_heads,70,284.52627922812155,5.650825619170926,237.70429350298852,507.6766604868575
magnitude_neurons_sparsity30,magnitude,neurons,30,494.1823791409651,6.202904637599064,447.36039341583205,955.4494250672044
magnitude_neurons_sparsity50,magnitude,neurons,50,1333.0929159438836,7.19525702213348,1286.2709302187504,2747.1516004677005
magnitude_neurons_sparsity70,magnitude,neurons,70,4035.096724202853,8.302785551718564,3988.27473847772,8517.95300158938
random_attention_heads_sparsity30,random,attention_heads,30,388.89776382175364,5.963316491136823,342.07577809662064,730.5879338496354
random_attention_heads_sparsity50,random,attention_heads,50,407.11234152139605,6.00908917074924,360.29035579626304,769.4896963818152
random_attention_heads_sparsity70,random,attention_heads,70,2227.9597696337205,7.7088415441667895,2181.1377839085876,4658.3624127197145
random_neurons_sparsity30,random,neurons,30,490.44893294669885,6.195321161346216,443.62694722156584,947.4757218240671
random_neurons_sparsity50,random,neurons,50,1234.4518481733983,7.118382302899685,1187.6298624482652,2536.4790579797454
random_neurons_sparsity70,random,neurons,70,2984.553594231353,8.001205464971797,2937.7316085062203,6274.256768502045
