model,n_layers,d_model,overall_mean_cosine_similarity,overall_median_cosine_similarity,min_layer_cosine_similarity,max_layer_cosine_similarity,early_layers_cosine_mean,middle_layers_cosine_mean,late_layers_cosine_mean,overall_mean_cka,early_layers_cka,middle_layers_cka,late_layers_cka
base_model,12,768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999766312,0.9999999999566991,0.9999999999751769,0.9999999999994716
magnitude_attention_heads_sparsity30,12,768,0.9804152647654215,0.9782021939754486,0.9645547866821289,1.0,0.9888770580291748,0.9790584047635397,0.9746671915054321,0.9414582472504288,0.9978634495040911,0.9597572137136433,0.8484551120703377
magnitude_attention_heads_sparsity50,12,768,0.9774095068375269,0.975555419921875,0.9635978937149048,1.0,0.9888770580291748,0.9754241108894348,0.9699127475420634,0.917252442499252,0.9978634495040911,0.9490910749723377,0.7729641705482414
magnitude_attention_heads_sparsity70,12,768,0.9573574264844259,0.9579797387123108,0.943583607673645,0.97222900390625,0.9579318165779114,0.9583631853262583,0.9547715187072754,0.8514834637123322,0.9791335938353081,0.9096262664444964,0.6075477281250283
random_neurons_sparsity30,12,768,0.9170360366503397,0.9095731377601624,0.8825908303260803,0.9831538200378418,0.9665253957112631,0.8987687230110168,0.9040813048680624,0.8248904596737394,0.9932889427019788,0.8767389182242679,0.5527950595444425
random_neurons_sparsity50,12,768,0.8973565896352133,0.9175183176994324,0.792950451374054,0.9752458930015564,0.970051089922587,0.8774954974651337,0.8643842736879984,0.790865847160692,0.9773064692580729,0.8332230833317339,0.5197107527212276
random_attention_heads_sparsity50,12,768,0.8941249599059423,0.902946412563324,0.7940536141395569,0.9672358632087708,0.9534687797228495,0.8547431826591492,0.9135446945826212,0.8172378559286457,0.9872064010589431,0.8173265331344212,0.6470919563867971
random_attention_heads_sparsity30,12,768,0.8802853226661682,0.8778968751430511,0.7620742321014404,0.9588459134101868,0.8602256774902344,0.8718548615773519,0.9172058900197347,0.8012941136806453,0.9857339530660453,0.7859377592196001,0.6475669832173357
magnitude_neurons_sparsity30,12,768,0.8556873599688212,0.8500465750694275,0.8078264594078064,0.9489390850067139,0.8553300698598226,0.8392283419768015,0.8889626860618591,0.697689338075708,0.945613082354682,0.6687070921405903,0.507730085666969
random_neurons_sparsity70,12,768,0.8496865729490916,0.8481035828590393,0.7113174200057983,0.9703404307365417,0.9440302650133768,0.8122810324033102,0.8301539619763693,0.6463751155284644,0.9700376463976266,0.6778257161346871,0.2598113834468562
magnitude_neurons_sparsity50,12,768,0.8127342313528061,0.8056638836860657,0.7815936207771301,0.9078982472419739,0.8050122658411661,0.8034167091051737,0.8390912413597107,0.5774657444502757,0.9003229715722366,0.5215969588136468,0.3663460886015724
random_attention_heads_sparsity70,12,768,0.7806244343519211,0.7613757252693176,0.6535258889198303,0.9489817023277283,0.7549677689870199,0.7425406575202942,0.882448653380076,0.7048073478841288,0.9808069674959552,0.7529338815989736,0.33255466084261304
magnitude_neurons_sparsity70,12,768,0.7027053435643514,0.7250507175922394,0.5574926733970642,0.8286497592926025,0.7903292179107666,0.6997566223144531,0.6209789117177328,0.4999944427581671,0.9055642116059696,0.41350279255821537,0.26740797431026814
