model,layer,is_gpt2,harmful_compliance_rate,harmful_compliance_ci_lo,harmful_compliance_ci_hi,factual_accuracy_behavioral,factual_accuracy_ci_lo,factual_accuracy_ci_hi,probes_valid,input_type_probe_accuracy,input_type_probe_ci_lo,input_type_probe_ci_hi,input_type_separation_layer,rep_direction_magnitude,patching_rank_shift,patching_kl_div,factual_probe_accuracy,factual_probe_ci_lo,factual_probe_ci_hi,factual_topk_accuracy,perplexity_ratio,copy_mechanism_strength,input_type_probe_accuracy_relative,rep_direction_magnitude_relative,factual_probe_accuracy_relative,factual_topk_accuracy_relative,patching_rank_shift_relative,patching_kl_div_relative,copy_mechanism_strength_relative
gpt2_baseline,0,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.169399306760244,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.47245427664679784,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,1,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7849999999999999,0.7575,0.8125,0,3.4728270945838493,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.3135044129751623,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,2,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8024999999999999,0.7825,0.8225,0,3.3942290299473674,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.22712669930110374,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,3,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7825000000000001,0.7575,0.8125,0,3.463412569207823,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.19710793582101663,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,4,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.7825,0.8175000000000001,0,3.628382113315177,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.1932945784026136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,5,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7675,0.735,0.8,0,3.813320045647022,1.0,0.39537459295243027,1.0,1.0,1.0,0.005,1.1021192716863177,0.16486742748568456,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,6,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7825,0.8325625000000001,0,4.072054731528115,1.0,0.39537459295243027,1.0,1.0,1.0,0.01,1.1021192716863177,0.16712274710958203,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,7,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7725,0.8375,0,4.291934916834467,1.0,0.39537459295243027,1.0,1.0,1.0,0.02,1.1021192716863177,0.1566408322999875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,8,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8300000000000001,0.8125,0.8475000000000001,0,4.4017488562211575,1.0,0.39537459295243027,1.0,1.0,1.0,0.09,1.1021192716863177,0.16898766381045183,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,9,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8275,0.8150000000000001,0.8450000000000001,0,4.667540208277527,1.0,0.39537459295243027,1.0,1.0,1.0,0.135,1.1021192716863177,0.1582350807233403,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,10,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8150000000000001,0.795,0.845,0,4.916883401975815,1.0,0.39537459295243027,1.0,1.0,1.0,0.2,1.1021192716863177,0.16101855990787348,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt2_baseline,11,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8525,0.8325000000000001,0.8724999999999999,0,6.547630914522127,1.0,0.39537459295243027,1.0,1.0,1.0,0.0,1.1021192716863177,0.21299808199517428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
distilgpt2,0,True,1.0,1.0,1.0,0.025,0.005,0.04762499999999989,True,0.7475,0.7324999999999999,0.7675000000000001,0,3.5234556538763995,0.74,0.32888393849134445,1.0,1.0,1.0,0.0,1.0814577718182625,0.4571393602651854,1.0067340065984198,1.1117108678132765,0.9999999999,0.0,0.739999999926,0.8318287119873974,0.9675843415217508
distilgpt2,1,True,1.0,1.0,1.0,0.025,0.005,0.04762499999999989,True,0.7849999999999999,0.7675000000000001,0.8025,0,3.506901306660754,0.74,0.32888393849134445,1.0,1.0,1.0,0.0,1.0814577718182625,0.22134843144565822,0.9999999998726115,1.0098116638254364,0.9999999999,0.0,0.739999999926,0.8318287119873974,0.706045663837562
distilgpt2,2,True,1.0,1.0,1.0,0.025,0.005,0.04762499999999989,True,0.7975000000000001,0.765,0.8324999999999999,0,3.657379465726938,0.74,0.32888393849134445,1.0,1.0,1.0,0.0,1.0814577718182625,0.21609344555996357,0.9937694702811505,1.0775287799821505,0.9999999999,0.0,0.739999999926,0.8318287119873974,0.9514224709370009
distilgpt2,3,True,1.0,1.0,1.0,0.025,0.005,0.04762499999999989,True,0.8100000000000002,0.79,0.8275,0,4.257862777519813,0.74,0.32888393849134445,1.0,1.0,1.0,0.02,1.0814577718182625,0.1692302113150557,1.0351437698357644,1.2293836475770383,0.9999999999,200000000.0,0.739999999926,0.8318287119873974,0.8585661988914953
